,release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag,studio_flag,CPI,CPI_ratio,domestic_adj,budget_adj,worldwide_adj
0,2019,1,8.5,PG-13,Avengers: Endgame,356000000,181,Walt Disney ,2797800564,858373000,Action,Adventure,Drama,1,Marvel,255.657,1.0,858373000.0,356000000.0,2797800564.0
1,2019,2,7.0,PG,The Lion King,260000000,118,Walt Disney ,1656943394,543638043,Animation,Adventure,Drama,0,Disney,255.657,1.0,543638043.0,260000000.0,1656943394.0
2,2019,3,7.2,PG,Frozen II,150000000,103,Walt Disney ,1420560456,470089732,Animation,Adventure,Comedy,0,Disney,255.657,1.0,470089732.0,150000000.0,1420560456.0
3,2019,4,7.6,PG-13,Spider-Man: Far from Home,160000000,129,Sony Pictures,1131927996,390532085,Action,Adventure,Sci-Fi,1,Marvel,255.657,1.0,390532085.0,160000000.0,1131927996.0
4,2019,5,6.9,PG-13,Captain Marvel,175000000,123,Walt Disney ,1128274794,426829839,Action,Adventure,Sci-Fi,1,Marvel,255.657,1.0,426829839.0,175000000.0,1128274794.0
5,2019,6,7.9,G,Toy Story 4,200000000,100,Walt Disney ,1073394593,434038008,Animation,Adventure,Comedy,0,Disney,255.657,1.0,434038008.0,200000000.0,1073394593.0
6,2019,7,8.6,R,Joker,55000000,122,Warner Bros.,1071030470,334830470,Crime,Drama,Thriller,0,Other,255.657,1.0,334830470.0,55000000.0,1071030470.0
7,2019,8,7.0,PG,Aladdin,183000000,128,Walt Disney ,1050693953,355559216,Adventure,Family,Fantasy,0,Disney,255.657,1.0,355559216.0,183000000.0,1050693953.0
8,2019,9,6.9,PG-13,Star Wars: Episode IX - The Rise of Skywalker,200000000,142,Walt Disney ,1048859152,503458989,Action,Adventure,Fantasy,0,Disney,255.657,1.0,503458989.0,200000000.0,1048859152.0
9,2019,10,6.5,PG-13,Fast & Furious Presents: Hobbs & Shaw,200000000,137,Universal Pictures,758910100,173810100,Action,Adventure,,0,Other,255.657,1.0,173810100.0,200000000.0,758910100.0
10,2018,1,8.5,PG-13,Avengers: Infinity War,321000000,149,Walt Disney ,2048359754,678815482,Action,Adventure,Sci-Fi,1,Marvel,251.107,1.0181197656775798,691115459.4721534,326816444.7825031,2085475552.7658648
