release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2019,1,8.5,PG-13,Avengers: Endgame,356000000,181,Walt Disney ,2797800564,858373000,Action,Adventure,Drama,1
2019,2,7,PG,The Lion King,260000000,118,Walt Disney ,1656943394,543638043,Animation,Adventure,Drama,0
2019,3,7.2,PG,Frozen II,150000000,103,Walt Disney ,1420560456,470089732,Animation,Adventure,Comedy,0
2019,4,7.6,PG-13,Spider-Man: Far from Home,160000000,129,Sony Pictures,1131927996,390532085,Action,Adventure,Sci-Fi,1
2019,5,6.9,PG-13,Captain Marvel,175000000,123,Walt Disney ,1128274794,426829839,Action,Adventure,Sci-Fi,1
2019,6,7.9,G,Toy Story 4,200000000,100,Walt Disney ,1073394593,434038008,Animation,Adventure,Comedy,0
2019,7,8.6,R,Joker,55000000,122,Warner Bros.,1071030470,334830470,Crime,Drama,Thriller,0
2019,8,7,PG,Aladdin,183000000,128,Walt Disney ,1050693953,355559216,Adventure,Family,Fantasy,0
2019,9,6.9,PG-13,Star Wars: Episode IX - The Rise of Skywalker,200000000,142,Walt Disney ,1048859152,503458989,Action,Adventure,Fantasy,0
2019,10,6.5,PG-13,Fast & Furious Presents: Hobbs & Shaw,200000000,137,Universal Pictures,758910100,173810100,Action,Adventure,,0
2018,1,8.5,PG-13,Avengers: Infinity War,321000000,149,Walt Disney ,2048359754,678815482,Action,Adventure,Sci-Fi,1
2018,2,7.3,PG-13,Black Panther,200000000,134,Walt Disney ,1346913161,700059566,Action,Adventure,Sci-Fi,1
2018,3,6.2,PG-13,Jurassic World: Fallen Kingdom,170000000,128,Universal Pictures,1308467944,417719760,Action,Adventure,Sci-Fi,0
2018,4,7.7,PG,Incredibles 2,200000000,118,Walt Disney ,1242805359,608581744,Animation,Action,Adventure,0
2018,5,7,PG-13,Aquaman,160000000,143,Warner Bros.,1148161807,335061807,Action,Adventure,Fantasy,0
2018,6,8,PG-13,Bohemian Rhapsody,52000000,134,Twentieth Century Fox,903655259,216428042,Biography,Drama,Music,0
2018,7,6.7,PG-13,Venom,100000000,112,Sony Pictures,856085151,213515506,Action,Sci-Fi,Thriller,1
2018,8,7.8,PG-13,Mission: Impossible - Fallout,178000000,147,Paramount Pictures,791115104,220159104,Action,Adventure,Thriller,0
2018,9,7.7,R,Deadpool 2,110000000,119,Twentieth Century Fox,734546611,318491426,Action,Adventure,Comedy,1
2018,10,6.6,PG-13,Fantastic Beasts: The Crimes of Grindelwald,200000000,134,Warner Bros.,653755901,159555901,Adventure,Family,Fantasy,0
2017,1,7,PG-13,Star Wars: Episode VIII - The Last Jedi,317000000,152,Walt Disney ,1332539889,620181382,Action,Adventure,Fantasy,0
2017,2,7.1,PG,Beauty and the Beast,160000000,129,Walt Disney ,1263521126,504014165,Family,Fantasy,Musical,0
2017,3,6.7,PG-13,The Fate of the Furious,250000000,136,Universal Pictures,1236005118,226008385,Action,Adventure,Thriller,0
2017,4,6.3,PG,Despicable Me 3,80000000,89,Universal Pictures,1034799409,264624300,Animation,Adventure,Comedy,0
2017,5,6.9,PG-13,Jumanji: Welcome to the Jungle,90000000,119,Sony Pictures,962077546,404515480,Action,Adventure,Comedy,0
2017,6,7.4,PG-13,Spider-Man: Homecoming,175000000,133,Sony Pictures,880166924,334201140,Action,Adventure,Sci-Fi,1
2017,7,6,,Wolf Warrior 2,30100000,123,The H Collective,870325439,2721100,Action,Drama,Thriller,0
2017,8,7.6,PG-13,Guardians of the Galaxy Vol. 2,200000000,136,Walt Disney ,863756051,389813101,Action,Adventure,Comedy,1
2017,9,7.9,PG-13,Thor: Ragnarok,180000000,130,Walt Disney ,853977126,315058289,Action,Adventure,Comedy,1
2017,10,7.4,PG-13,Wonder Woman,149000000,141,Warner Bros.,821847012,412563408,Action,Adventure,Fantasy,0
2016,1,7.8,PG-13,Captain America: Civil War,250000000,147,Walt Disney ,1153296293,408084349,Action,Adventure,Sci-Fi,1
2016,2,7.8,PG-13,Rogue One: A Star Wars Story,200000000,133,Walt Disney ,1056057273,532177324,Action,Adventure,Sci-Fi,0
2016,3,7.3,PG,Finding Dory,200000000,97,Walt Disney ,1028570889,486295561,Animation,Adventure,Comedy,0
2016,4,8,PG,Zootopia,150000000,108,Walt Disney ,1023784195,341268248,Animation,Adventure,Comedy,0
2016,5,7.4,PG,The Jungle Book,175000000,106,Walt Disney ,966550600,364001123,Adventure,Drama,Fantasy,0
2016,6,6.5,PG,The Secret Life of Pets,75000000,87,Universal Pictures,875457937,368384330,Animation,Adventure,Comedy,0
2016,7,6.6,PG-13,Fantastic Beasts and Where to Find Them,180000000,134,Warner Bros.,814037575,234037575,Adventure,Family,Fantasy,0
2016,8,8,R,Deadpool ,58000000,108,Twentieth Century Fox,782612155,363070709,Action,Adventure,Comedy,1
2016,9,6,PG-13,Suicide Squad,175000000,123,Warner Bros.,746846894,325100054,Action,Adventure,Fantasy,0
2016,10,7.5,PG-13,Doctor Strange,165000000,115,Walt Disney ,677718395,232641920,Action,Adventure,Fantasy,1
2015,1,7.9,PG-13,Star Wars: Episode VII - The Force Awakens,245000000,138,Walt Disney ,2068223624,936662225,Action,Adventure,Sci-Fi,0
2015,2,7,PG-13,Jurassic World,150000000,124,Universal Pictures,1670400637,652270625,Action,Adventure,Sci-Fi,0
2015,3,7.2,PG-13,Furious 7,190000000,137,Universal Pictures,1515047671,353007020,Action,Adventure,Thriller,0
2015,4,7.3,PG-13,Avengers: Age of Ultron,250000000,141,Walt Disney ,1402805868,459005868,Action,Adventure,Sci-Fi,1
2015,5,6.4,PG,Minions,74000000,91,Universal Pictures,1159398397,336045770,Animation,Adventure,Comedy,0
2015,6,6.8,PG-13,Spectre,245000000,148,Sony Pictures,880674609,200074609,Action,Adventure,Thriller,0
